id,idLeads,idSalespersons,Pipeline,Date,Status,Hour,leadStatus,Brand,Model,Max,Min,AVG,LeadTarget,Channel
1,1,2,Sales Initiation,5/8/19,Completed,11:30:00,In Process,Lamborghini,URUS,5/12/19,5/8/19,4,15,walk-in
4,1,2,Test-drive,5/12/19,Active,16:30:00,In Process,Lamborghini,URUS,5/12/19,5/8/19,4,15,walk-in
6,2,5,Sales Initiation,5/13/19,Completed,16:00:00,In Process,Aston Martin,Vantage,5/27/19,5/13/19,14,8,Call
10,2,5,Test-drive,5/16/19,Completed,18:00:00,In Process,Aston Martin,Vantage,5/27/19,5/13/19,14,8,Call
18,2,5,Offer,5/27/19,Active,11:30:00,In Process,Aston Martin,Vantage,5/27/19,5/13/19,14,8,Call
21,3,4,Sales Initiation,5/28/19,Completed,09:00:00,In Process,Caterham,275,5/28/19,5/28/19,0,5,Call
25,4,4,Sales Initiation,5/30/19,Completed,10:30:00,In Process,Morgan,Classic Plus 4,6/4/19,5/30/19,5,5,walk-in
29,4,4,Test-drive,6/4/19,Completed,09:30:00,In Process,Morgan,Classic Plus 4,6/4/19,5/30/19,5,5,walk-in
31,5,2,Sales Initiation,6/5/19,Completed,17:00:00,Won,Lamborghini,HURACÁN,6/10/19,6/5/19,5,15,Camapign
36,5,2,Offer,6/8/19,Completed,18:30:00,Won,Lamborghini,HURACÁN,6/10/19,6/5/19,5,15,Camapign
38,5,2,Contract,6/9/19,Completed,16:00:00,Won,Lamborghini,HURACÁN,6/10/19,6/5/19,5,15,Camapign
40,5,2,Delivery,6/10/19,Active,17:30:00,Won,Lamborghini,HURACÁN,6/10/19,6/5/19,5,15,Camapign
12,6,4,Sales Initiation,5/17/19,Completed,13:00:00,In Process,Morgan,Classic Plus 4,5/22/19,5/17/19,5,5,Event
16,6,4,Offer,5/22/19,Active,17:00:00,In Process,Morgan,Classic Plus 4,5/22/19,5/17/19,5,5,Event
17,7,5,Test-drive,5/26/19,Completed,08:00:00,Won,Aston Martin,RAPIDE E,5/28/19,5/26/19,2,8,Event
19,7,5,Contract,5/27/19,Completed,08:00:00,Won,Aston Martin,RAPIDE E,5/28/19,5/26/19,2,8,Event
22,7,5,Delivery,5/28/19,Completed,14:00:00,Won,Aston Martin,RAPIDE E,5/28/19,5/26/19,2,8,Event
20,8,3,Sales Initiation,5/27/19,Completed,17:00:00,Lost,Lamborghini,URUS,5/28/19,5/27/19,1,15,walk-in
23,8,3,Test-drive,5/28/19,Cancelled,09:30:00,Lost,Lamborghini,URUS,5/28/19,5/27/19,1,15,walk-in
24,9,4,Sales Initiation,5/29/19,Completed,16:30:00,Lost,Morgan,Classic Plus 4,6/2/19,5/29/19,4,5,Call
26,9,4,Offer,6/1/19,Completed,17:00:00,Lost,Morgan,Classic Plus 4,6/2/19,5/29/19,4,5,Call
27,9,4,Contract,6/2/19,Cancelled,18:30:00,Lost,Morgan,Classic Plus 4,6/2/19,5/29/19,4,5,Call
28,10,3,Sales Initiation,6/3/19,Completed,13:30:00,Won,Lamborghini,URUS,6/6/19,6/3/19,3,15,Call
30,10,3,Test-drive,6/4/19,Completed,19:00:00,Won,Lamborghini,URUS,6/6/19,6/3/19,3,15,Call
32,10,3,Contract,6/5/19,Completed,16:00:00,Won,Lamborghini,URUS,6/6/19,6/3/19,3,15,Call
33,10,3,Delivery,6/6/19,Completed,13:30:00,Won,Lamborghini,URUS,6/6/19,6/3/19,3,15,Call
34,11,3,Sales Initiation,6/7/19,Active,12:00:00,In Process,Lamborghini,URUS,6/7/19,6/7/19,0,15,Camapign
37,12,5,Sales Initiation,6/8/19,Completed,18:30:00,Lost,Aston Martin,Vantage,6/15/19,6/8/19,7,8,Camapign
42,12,5,Test-drive,6/14/19,Completed,13:30:00,Lost,Aston Martin,Vantage,6/15/19,6/8/19,7,8,Camapign
43,12,5,Offer,6/15/19,Cancelled,19:00:00,Lost,Aston Martin,Vantage,6/15/19,6/8/19,7,8,Camapign
2,13,4,Sales Initiation,5/8/19,Completed,14:30:00,Won,Caterham,275,5/14/19,5/8/19,6,5,walk-in
3,13,4,Test-drive,5/10/19,Completed,12:30:00,Won,Caterham,275,5/14/19,5/8/19,6,5,walk-in
5,13,4,Offer,5/12/19,Completed,14:00:00,Won,Caterham,275,5/14/19,5/8/19,6,5,walk-in
7,13,4,Contract,5/13/19,Completed,13:30:00,Won,Caterham,275,5/14/19,5/8/19,6,5,walk-in
8,13,4,Delivery,5/14/19,Completed,13:00:00,Won,Caterham,275,5/14/19,5/8/19,6,5,walk-in
9,14,5,Sales initiation,5/15/19,Completed,18:00:00,Won,Aston Martin,Vantage,5/19/19,5/15/19,4,8,walk-in
11,14,5,Test-drive,5/16/19,Completed,14:00:00,Won,Aston Martin,Vantage,5/19/19,5/15/19,4,8,walk-in
13,14,5,Offer,5/17/19,Completed,09:30:00,Won,Aston Martin,Vantage,5/19/19,5/15/19,4,8,walk-in
14,14,5,Contract,5/18/19,Completed,16:30:00,Won,Aston Martin,Vantage,5/19/19,5/15/19,4,8,walk-in
15,14,5,Delivery,5/19/19,Completed,17:00:00,Won,Aston Martin,Vantage,5/19/19,5/15/19,4,8,walk-in
35,15,5,Sales Initiation,6/7/19,Completed,17:00:00,Lost,Aston Martin,Vantage,6/10/19,6/7/19,3,8,Event
39,15,5,Test-drive,6/9/19,Completed,12:00:00,Lost,Aston Martin,Vantage,6/10/19,6/7/19,3,8,Event
41,15,5,Offer,6/10/19,Cancelled,19:00:00,Lost,Aston Martin,Vantage,6/10/19,6/7/19,3,8,Event
